Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Atkan Chatkan,2020,126,"Drama, Musical",8.2,"1,763",Shiv Hare,Lydian Nadhaswaram,Sachin Chaudhary,Tamanna Dipak
Kaanchli Life in a Slough,2020,101,Drama,7.3,85,Dedipya Joshii,Sanjay Mishra,Shikha Malhotra,Nareshpal Singh Chouhan
Kaali Khuhi,2020,90,"Drama, Horror, Mystery",3.4,"1,032",Terrie Samundra,Shabana Azmi,Sanjeeda Sheikh,Riva Arora
Baaghi 3,2020,143,"Action, Comedy, Musical",2.1,"10,309",Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor
V,2020,140,"Action, Crime, Thriller",6.9,"6,758",Mohana Krishna Indraganti,Nani,Sudheer Babu Posani,Nivetha Thomas
Bahut Hua Sammaan,2020,125,"Comedy, Crime, Drama",7.3,"3,036",Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal
Khwab Sare Jhootey,2020,100,Drama,7.8,8,Deepak Baldev,Ajay Gautam,Harsh Kumar,Madhu Narayan
Kosa,2020,85,Drama,7.3,15,Mohit Priyadarshi,Kunal Bhange,Sunil Chipde,Robin Das
I Know You,2020,98,Horror,3.5,20,Jayveer Panghaal,Agast Anand,Nishant Bhardwaj,Muzahid Khan
Home Stories,2020,47,Comedy,6.6,18,Tanvi Gandhi,Anubhuti Kashyap,Ashwin Laxmi Narayan,Sahirr Sethhi
Tryst with Destiny,2020,96,Drama,8,13,Prashant Nair,Suhasini,Vineet Kumar Singh,Jaideep Ahlawat
Lootcase,2020,132,"Comedy, Crime",7.6,"15,188",Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz
Love Aaj Kal,2020,142,"Drama, Romance",4.7,"6,994",Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,Randeep Hooda
Teri Diwali Meri Christmas,2020,68,"Adventure, Fantasy, Romance",5.7,23,Anurag Jha,Anurag Jha,Hemavaishnave,Khushboo Moharkar
Operation Parindey,2020,60,"Action, Drama, Thriller",4.7,349,Sanjay Gadhvi,Amit Sadh,Rucha Inamdar,Rahul Dev
AK vs AK,2020,108,"Action, Comedy, Crime",6.9,"12,429",Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor
Laxmii,2020,141,"Action, Comedy, Horror",2.4,"49,164",Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani
Thappad,2020,142,Drama,6.8,"15,063",Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra
Love Qubool Hai,2020,94,"Drama, Romance",10,5,Saif Ali Sayeed,Ahaan Jha,Mahesh Narayan,Rajasree Rajakumari
Little Singham Kaal Ka Badla,2020,69,"Animation, Action",6.1,12,Prakash Satam,Jigna Bharadhwaj,Neshma Chemburkar,Saumya Daan
Torbaaz,2020,133,"Action, Drama, Sport",6.8,"5,289",Girish Malik,Sanjay Dutt,Nargis Fakhri,Rahul Dev
Pagleaazam,2020,123,Comedy,6.7,10,Vikas Kavthekar,Aps Raghuvanshi,Aditya pratap singh Raghuvanshi,Mandeep Kaur
I Am Not Blind,2020,101,"Drama, Family",7.2,12,Govind Mishra,Vinay Ambast,Amit Ghosh,Shikha Itkan
Panga,2020,131,"Drama, Sport",6.8,"5,455",Ashwiny Iyer Tiwari,Kangana Ranaut,Jassie Gill,Richa Chadha
Kriya,2020,96,"Drama, Fantasy, Horror",6.5,29,Sidharth Srinivasan,Avantika Akerkar,M.D. Asif,Kishan Bahurupiya
Omprakash Zindabad,2020,130,"Comedy, Drama",4.9,12,Ranjeet Gupta,Seema Azmi,Shweta Bhardwaj,Zakir Hussain
Pareeksha,2020,120,Drama,8.1,"2,921",Prakash Jha,Adil Hussain,Priyanka Bose,Shourya Deep
Ludo,2020,149,"Action, Comedy, Crime",7.6,"32,403",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao
Kottayam,2020,100,"Crime, Drama, Romance",6.9,13,Binu Bhaskar,Sreenath Janardhanan,Chinnu Kuruvila,Ravi Mathew
Bamfaad,2020,102,Romance,7.2,"1,533",Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
Indoo Ki Jawani,2020,118,"Comedy, Drama",3,"5,032",Abir Sengupta,Kiara Advani,Aditya Seal,Mushtaq Khan
Haunted Hills,2020,102,Horror,6.7,31,Sanjeev Kumar Rajput,Sharan Anandani,Gavie Chahal,Krishna Chaturvedi
